state_id,state_abbr,county_state_name,county_id,county_name,latitude,longitude,consolidated_city-county,population,population_cohort,employment,employment_cohort,doe_climate_zone,cohort,consumption_MWh
17,IL,"Adams County, IL",17001,Adams County,39.986052,-91.194961,,66949,08,61693,08,5,50808,295948
17,IL,"Alexander County, IL",17003,Alexander County,37.183657,-89.349516,,7051,02,1676,01,4,40201,31129
17,IL,"Bond County, IL",17005,Bond County,38.885924,-89.436592,,17137,05,6755,02,4,40502,72114
17,IL,"Boone County, IL",17007,Boone County,42.318983,-88.824295,,53656,07,31143,06,5,50706,156559
17,IL,"Brown County, IL",17009,Brown County,39.962069,-90.750309,,6836,02,4122,01,5,50201,25197
17,IL,"Bureau County, IL",17011,Bureau County,41.401304,-89.528377,,33822,06,19720,05,5,50605,144955
17,IL,"Calhoun County, IL",17013,Calhoun County,39.164262,-90.666295,,4962,01,1038,01,5,50101,25199
17,IL,"Carroll County, IL",17015,Carroll County,42.0709,-89.924189,,14793,04,7236,02,5,50402,62890
17,IL,"Cass County, IL",17017,Cass County,39.969202,-90.245704,,13068,04,9470,03,5,50403,60607
17,IL,"Champaign County, IL",17019,Champaign County,40.13898,-88.196996,,206420,11,138711,10,5,51110,790562
17,IL,"Christian County, IL",17021,Christian County,39.545524,-89.279593,,33888,06,16108,04,4,40604,148519
17,IL,"Clark County, IL",17023,Clark County,39.332364,-87.791687,,16089,04,7933,03,5,50403,81454
17,IL,"Clay County, IL",17025,Clay County,38.746832,-88.482344,,13466,04,9507,03,4,40403,66748
17,IL,"Clinton County, IL",17027,Clinton County,38.606295,-89.426228,,37858,06,18074,05,4,40605,167795
17,IL,"Coles County, IL",17029,Coles County,39.51368,-88.220782,,52802,07,37568,06,5,50706,218363
17,IL,"Cook County, IL",17031,Cook County,41.894294,-87.645455,,5227575,19,4803324,18,5,51918,14290976
